"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene5451",4.08947752379386,6.20240338516407,26.1447938518947,3.16749968624733e-07,3.08595797135137e-05
"dp_gene2876",3.77861135197282,5.10247894307791,26.099981297332,3.24187156704498e-07,3.13721786075312e-05
"dp_gene5283",6.29888142797743,3.92757926790723,26.0149962019958,3.38775638222481e-07,3.25653728501997e-05
"dp_gene8209",-3.25922351974172,4.63906695286686,25.9612594813105,3.48337833240198e-07,3.32628027648372e-05
"dp_gene11625",-1.96201117386064,9.11726002504684,25.8678792634982,3.65602507079884e-07,3.44954251230553e-05
"dp_gene21922",-2.5357101134508,5.69505270348117,25.8656186245474,3.66030934449508e-07,3.44954251230553e-05
"dp_gene5431",4.63428804552046,4.59627052251276,25.771660163024,3.84289900786291e-07,3.59810135028411e-05
"dp_gene11173",3.76589099672556,4.9638131255057,25.6577941913945,4.07645686608526e-07,3.79215687432796e-05
"dp_gene9751",-2.25187483325686,5.65439806340223,25.5709395894258,4.2641329511389e-07,3.922579516572e-05
"dp_gene7730",6.27791703518241,3.79161697743068,25.5678049825858,4.27106584438452e-07,3.922579516572e-05
"dp_gene11636",-1.95856313871857,8.77446723374671,25.4409797645567,4.56125325079509e-07,4.16257662172243e-05
"dp_gene8063",2.59641576559023,5.65031265062905,25.3317203737489,4.82705102630541e-07,4.3685299377798e-05
"dp_gene15292",2.50395918934481,8.65981111009453,25.3192370731628,4.85839135849801e-07,4.3685299377798e-05
"dp_gene16862",2.82700856167843,4.82644708129136,25.311537595124,4.87782314988937e-07,4.3685299377798e-05
"dp_gene13963",6.23198548508357,5.08188742570149,25.124454903816,5.37469192624896e-07,4.78380758546813e-05
"dp_gene13390",2.73564818035281,6.81389481447976,25.056142068195,5.5685095517337e-07,4.92591038199069e-05
"dp_gene19526",2.87510427761108,7.1108544916286,25.0409227196474,5.61263574101914e-07,4.93467041157042e-05
"dp_gene9742",3.70426099529476,4.83791747560375,24.8268338153059,6.27182693082386e-07,5.4808165160939e-05
"dp_gene13804",6.22059422705763,3.47664798807985,24.777789329142,6.43345339051953e-07,5.58819062878922e-05
"dp_gene13479",-2.46637023988205,6.53563839924087,24.6934738157074,6.72113812820927e-07,5.8031192018353e-05
"dp_gene5862",-1.86705074654992,10.1958887506156,24.6676725206261,6.81172366302483e-07,5.84632401768779e-05
"dp_gene21839",4.00851319711029,4.00000267870134,24.6497647510649,6.87531459190787e-07,5.8659858639479e-05
"dp_gene7340",6.16975250270732,8.67738706174988,24.4263937166327,7.72037090073865e-07,6.54823694222063e-05
"dp_gene7491",2.48374376784386,6.61383957519982,24.3177286196989,8.16837938584409e-07,6.88771124938514e-05
