"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene12384",-2.86326480483078,5.09009766728962,47.2224301992907,6.3371091087076e-12,4.83620344827581e-10
"dp_gene643",-3.77910537696558,4.27130237942008,47.221798160497,6.33915286583069e-12,4.83620344827581e-10
"dp_gene398",-3.88138781436292,3.75264603146005,46.9301602218103,7.35619037868681e-12,5.58257416159396e-10
"dp_gene1140",2.56849128671177,7.20890049460875,46.8475085628525,7.6730582211052e-12,5.79255636073905e-10
"dp_gene12441",-2.44481902818393,8.35222798535781,46.7922712357664,7.89240538584495e-12,5.92711423221345e-10
"dp_gene13808",-2.96013632045273,5.08514807398865,46.6638913652188,8.42675062773297e-12,6.29561229540319e-10
"dp_gene941",3.83000797121307,4.96912240519108,46.6293516412794,8.57659461036184e-12,6.35566712228546e-10
"dp_gene3338",-4.17693699311126,3.54364369679876,46.6250843537355,8.5952915517419e-12,6.35566712228546e-10
"dp_gene15733",-2.4373019984176,8.11701442147707,46.6108278857612,8.65805196639095e-12,6.36941078078526e-10
"dp_gene2242",2.5744941090511,8.15274302157622,46.3527858525075,9.876697679758e-12,7.22904080428581e-10
"dp_gene18914",-2.38647415206012,9.82027204764692,45.879349242626,1.25764742815632e-11,9.15859508413432e-10
"dp_gene2065",-6.35321763195129,2.9573327148,45.8245509336465,1.29332440608384e-11,9.3710776941321e-10
"dp_gene18490",-3.41706775906236,4.00553877745423,45.7080782828578,1.37255560862378e-11,9.85488408947752e-10
"dp_gene5218",-6.3471468572021,2.97524207266989,45.7063531119683,1.37376496427282e-11,9.85488408947752e-10
"dp_gene10028",2.78358496680283,7.54788344938793,45.6278756909421,1.42992071401312e-11,1.02069439481956e-09
"dp_gene17694",-2.4350671876091,7.56610873645019,45.5023977914535,1.52452083550241e-11,1.08286039049799e-09
"dp_gene4937",-2.37229923000092,9.40135340221497,45.1082982805009,1.86433722746398e-11,1.31773914131388e-09
"dp_gene559",-2.95056747360474,4.58272525172033,44.7936670747614,2.18929634170625e-11,1.53987629029573e-09
"dp_gene14922",-4.66518485045138,3.22443713722321,44.7768236162286,2.20821031359419e-11,1.54564002484052e-09
"dp_gene7771",-3.698580980884,3.62980830608488,44.7529532054105,2.23529550399816e-11,1.55703989720529e-09
"dp_gene11711",6.46198052029884,6.05964241903348,44.6802428823929,2.31986444537403e-11,1.60817910758885e-09
"dp_gene20670",-4.10843663744633,3.42391886344663,44.5285230572738,2.50678363570359e-11,1.72944082503398e-09
"dp_gene8800",4.62518868782871,4.27624197704773,44.4056374641808,2.66917368943639e-11,1.83270549657063e-09
"dp_gene5309",3.2834986830729,5.9804671986373,44.3218917699645,2.78583382525435e-11,1.90374113394988e-09
"dp_gene9547",-2.40324032018342,7.1906740613518,44.2910358240354,2.83009200255621e-11,1.92486304645557e-09
"dp_gene13404",2.53101944411477,8.3774460794411,44.1385584401513,3.05934792522923e-11,2.0710205508864e-09
"dp_gene11958",-6.27935685510056,2.91917015598355,44.0681419528846,3.17140810200775e-11,2.13684735620793e-09
"dp_gene20371",-6.27503782456254,2.95491853880389,43.9864795244885,3.30652006658767e-11,2.21752152744779e-09
"dp_gene19867",-5.1405514316769,3.09698397003499,43.8620608162501,3.52353155398162e-11,2.35212043874356e-09
"dp_gene10940",-3.41195770095751,4.14845903159412,43.7101464808992,3.80792422690364e-11,2.53025158653104e-09
"dp_gene11266",-3.65597025659523,3.62110816411877,43.5435073146207,4.14637601723232e-11,2.74250439415013e-09
"dp_gene7249",-3.76056422197485,3.63900495983772,43.4567401301179,4.33436143218963e-11,2.85375148359554e-09
"dp_gene20637",-3.24840679703643,5.10462366641067,43.4420692090013,4.36697949823408e-11,2.86215806295624e-09
"dp_gene13400",-2.80495324004764,4.95054711673101,43.3889308157798,4.48719304786745e-11,2.92763966322176e-09
"dp_gene6645",-3.29061598655034,5.03857513452564,43.3252615825722,4.63560025421652e-11,3.01084324619586e-09
"dp_gene2263",-3.0021388959679,4.31360157457292,43.2480730394064,4.82212381610939e-11,3.11794633652383e-09
"dp_gene16256",2.34894557169795,8.96030923268261,43.2100986553028,4.91662622832436e-11,3.16485864224147e-09
"dp_gene7572",2.75624404655836,6.10788867089268,43.1324612754313,5.11564210113663e-11,3.27833082027952e-09
"dp_gene13420",-2.79383788529659,4.94171158527277,43.0344203665607,5.37852205565279e-11,3.4315446690468e-09
"dp_gene15310",2.53665360870177,8.0091291107219,42.9442135393107,5.63232474445348e-11,3.57764275287554e-09
"dp_gene5209",-2.4244248914531,6.5482452381777,42.9128071815328,5.72347372691481e-11,3.61959507317476e-09
"dp_gene10927",-2.39425412095676,6.86991524202386,42.8766164879369,5.83034056989514e-11,3.67107775883485e-09
"dp_gene15539",-2.85274460804909,5.07274273125716,42.7682524808215,6.1624197404973e-11,3.86330131470568e-09
"dp_gene11175",3.1286801104894,7.1807307906382,42.5194414926756,6.99831398533111e-11,4.36834153049737e-09
"dp_gene3881",-5.07957304058251,3.52890568463769,42.3300035842111,7.71006199610048e-11,4.79186999662814e-09
"dp_gene4089",-6.19689686244599,2.92175455567371,42.1858347144714,8.29990384929279e-11,5.13632247222973e-09
"dp_gene15179",2.771630496687,5.3146762864662,42.110097560679,8.627654377919e-11,5.3163311314194e-09
"dp_gene4934",-2.68328849306648,5.21738391511793,42.0582943248308,8.85926215498742e-11,5.43581706437292e-09
"dp_gene13009",-2.59019233790182,5.34525562401733,41.9684563082795,9.27577290238469e-11,5.66726141862224e-09
"dp_gene17093",-2.89672884062488,4.81679547927712,41.9179254723386,9.51860145894976e-11,5.79108499732475e-09
"dp_gene1048",-4.00346758328007,3.38830711561086,41.8100118613104,1.00587038369719e-10,6.09254393736278e-09
"dp_gene11671",-4.55072861584719,3.17449172547355,41.8022709065418,1.00986060131057e-10,6.09254393736278e-09
"dp_gene19357",-3.99751748807463,3.36947580151776,41.4755122258617,1.19356693977316e-10,7.17085071024551e-09
"dp_gene18265",2.29576155022855,9.41838982689219,41.2338850305148,1.35060758278565e-10,8.08066835526401e-09
"dp_gene3142",-2.28530934135559,8.03583610680002,41.1386104141661,1.41807191613088e-10,8.44924750359139e-09
"dp_gene17053",2.41602649475087,7.05252301998757,41.0955482801225,1.44966143132821e-10,8.60192106103766e-09
"dp_gene17841",2.2964524558504,8.9179737387202,41.0580914649884,1.47771131545859e-10,8.73242600721206e-09
"dp_gene18454",-5.02817449971756,3.05111205927421,41.0129051866456,1.51227350472534e-10,8.9001925161774e-09
